2026-07-05T18:12:17.528Z [LOG] Request: GET /health | Query: {} | Body: undefined | Status: 200 | Duration: 30ms []
2026-07-05T18:12:17.679Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"alex@test.com","password":"secret123"} | Status: 201 | Duration: 113ms []
2026-07-05T18:12:17.756Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"alex@test.com","password":"secret123"} | Status: 200 | Duration: 68ms []
2026-07-05T18:12:17.765Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 401 | Duration: 1ms []
2026-07-05T18:24:52.159Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"alex@test.com","password":"secret123"} | Status: 200 | Duration: 148ms []
2026-07-05T18:24:52.184Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 6ms []
2026-07-05T18:24:52.198Z [LOG] Request: POST /rooms | Query: {} | Body: {"name":"Test room","adminId":"74722c80-e83c-483d-b8b1-cae4a51dd262"} | Status: 201 | Duration: 6ms []
2026-07-06T08:30:35.326Z [LOG] Request: GET /health | Query: {} | Body: undefined | Status: 200 | Duration: 3ms []
2026-07-06T08:30:35.335Z [LOG] Request: GET /health | Query: {} | Body: undefined | Status: 200 | Duration: 1ms []
2026-07-06T08:30:35.356Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 13ms []
2026-07-06T08:34:14.445Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"admin-1783326854304@test.com","password":"secret123"} | Status: 201 | Duration: 107ms []
2026-07-06T08:34:14.509Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"viewer-1783326854304@test.com","password":"secret123"} | Status: 201 | Duration: 62ms []
2026-07-06T08:34:14.575Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"admin-1783326854304@test.com","password":"secret123"} | Status: 200 | Duration: 64ms []
2026-07-06T08:34:14.636Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"viewer-1783326854304@test.com","password":"secret123"} | Status: 200 | Duration: 58ms []
2026-07-06T08:34:14.642Z [LOG] Request: POST /rooms | Query: {} | Body: {"name":"Smoke room 1783326854304"} | Status: 201 | Duration: 4ms []
